2025050100 , 00 , 62
2025050101 , 01 , 48
2025050102 , 02 , 68
2025050103 , 03 , 64
2025050104 , 04 , 58
2025050105 , 05 , 72
2025050106 , 06 , 60
2025050107 , 07 , 87
2025050108 , 08 , 86
2025050109 , 09 , 78
2025050110 , 10 , 67
2025050111 , 11 , 60
2025050112 , 12 , 53
2025050113 , 13 , 43
2025050114 , 14 , 27
2025050115 , 15 , 16
2025050116 , 16 , 17
2025050117 , 17 , 29
2025050118 , 18 , 32
2025050119 , 19 , 31
2025050120 , 20 , 34
2025050121 , 21 , 53
2025050122 , 22 , 66
2025050123 , 23 , 62
2025050200 , 00 , 55
2025050201 , 01 , 66
2025050202 , 02 , 66
2025050203 , 03 , 70
2025050204 , 04 , 68
2025050205 , 05 , 72
2025050206 , 06 , 90
2025050207 , 07 , 87
2025050208 , 08 , 86
2025050209 , 09 , 94
2025050210 , 10 , 89
2025050211 , 11 , 77
2025050212 , 12 , 60
2025050213 , 13 , 47
2025050214 , 14 , 33
2025050215 , 15 , 25
2025050216 , 16 , 16
2025050217 , 17 , 20
2025050218 , 18 , 23
2025050219 , 19 , 23
2025050220 , 20 , 35
2025050221 , 21 , 56
2025050222 , 22 , 55
2025050223 , 23 , 59
2025050300 , 00 , 76
2025050301 , 01 , 49
2025050302 , 02 , 65
2025050303 , 03 , 56
2025050304 , 04 , 77
2025050305 , 05 , 81
2025050306 , 06 , 68
2025050307 , 07 , 101
2025050308 , 08 , 93
2025050309 , 09 , 101
2025050310 , 10 , 105
2025050311 , 11 , 86
2025050312 , 12 , 66
2025050313 , 13 , 58
2025050314 , 14 , 29
2025050315 , 15 , 18
2025050316 , 16 , 26
2025050317 , 17 , 27
2025050318 , 18 , 28
2025050319 , 19 , 30
2025050320 , 20 , 36
2025050321 , 21 , 49
2025050322 , 22 , 59
2025050323 , 23 , 62
2025050400 , 00 , 43
2025050401 , 01 , 71
2025050402 , 02 , 74
2025050403 , 03 , 68
2025050404 , 04 , 76
2025050405 , 05 , 82
2025050406 , 06 , 93
2025050407 , 07 , 125
2025050408 , 08 , 136
2025050409 , 09 , 104
2025050410 , 10 , 107
2025050411 , 11 , 79
2025050412 , 12 , 59
2025050413 , 13 , 47
2025050414 , 14 , 40
2025050415 , 15 , 35
2025050416 , 16 , 28
2025050417 , 17 , 22
2025050418 , 18 , 25
2025050419 , 19 , 40
2025050420 , 20 , 39
2025050421 , 21 , 57
2025050422 , 22 , 62
2025050423 , 23 , 72
2025050500 , 00 , 68
2025050501 , 01 , 74
2025050502 , 02 , 66
2025050503 , 03 , 78
2025050504 , 04 , 76
2025050505 , 05 , 82
2025050506 , 06 , 83
2025050507 , 07 , 92
2025050508 , 08 , 116
2025050509 , 09 , 113
2025050510 , 10 , 79
2025050511 , 11 , 69
2025050512 , 12 , 73
2025050513 , 13 , 51
